x,y,z,u,v,w,p
-0.171663,0,4.94643,6.08512,3.02E-05,0.0708277,-0.400693
-0.152906,0,4.94643,6.08559,3.03E-05,0.0703956,-0.404265
-0.13415,0,4.94643,6.08607,3.04E-05,0.0699552,-0.407809
-0.115393,0,4.94643,6.08653,3.05E-05,0.0695066,-0.411324
-0.0966362,0,4.94643,6.087,3.05E-05,0.0690498,-0.414809
-0.0778794,0,4.94643,6.08746,3.06E-05,0.0685849,-0.418264
-0.0591227,0,4.94643,6.08791,3.07E-05,0.068112,-0.421689
-0.040366,0,4.94643,6.08837,3.08E-05,0.0676313,-0.425082
-0.0216093,0,4.94643,6.08881,3.08E-05,0.0671428,-0.428443
-0.00285253,0,4.94643,6.08925,3.09E-05,0.0666466,-0.431771
0.0159042,0,4.94643,6.08969,3.10E-05,0.0661429,-0.435065
0.0346609,0,4.94643,6.09013,3.10E-05,0.0656318,-0.438325
0.0534177,0,4.94643,6.09055,3.11E-05,0.0651134,-0.44155
0.0721744,0,4.94643,6.09098,3.12E-05,0.0645877,-0.44474
0.0909311,0,4.94643,6.09139,3.12E-05,0.0640549,-0.447894
0.109688,0,4.94643,6.09181,3.13E-05,0.0635152,-0.451012
0.128445,0,4.94643,6.09222,3.14E-05,0.0629686,-0.454093
0.147201,0,4.94643,6.09262,3.14E-05,0.0624154,-0.457135
0.165958,0,4.94643,6.09301,3.15E-05,0.0618555,-0.46014
0.184715,0,4.94643,6.09341,3.16E-05,0.0612891,-0.463107
0.203471,0,4.94643,6.09379,3.16E-05,0.0607163,-0.466034
0.222228,0,4.94643,6.09417,3.17E-05,0.0601374,-0.468922
0.240985,0,4.94643,6.09455,3.17E-05,0.0595523,-0.47177
0.248449,0,4.94643,6.0947,3.17E-05,0.0593171,-0.472887
0.466066,0,4.94643,6.09859,3.23E-05,0.0521043,-0.502699
0.484822,0,4.94643,6.09888,3.24E-05,0.0514521,-0.504997
0.466066,0,4.95612,6.10268,3.22E-05,0.0518618,-0.500834
0.503579,0,4.94643,6.09917,3.24E-05,0.0507957,-0.507251
0.522336,0,4.94643,6.09946,3.25E-05,0.0501352,-0.509461
0.541093,0,4.94643,6.09973,3.25E-05,0.0494707,-0.511626
0.559849,0,4.94643,6.10001,3.25E-05,0.0488024,-0.513746
0.578606,0,4.94643,6.10027,3.26E-05,0.0481304,-0.515822
0.597363,0,4.94643,6.10053,3.26E-05,0.0474549,-0.517853
0.61612,0,4.94643,6.10078,3.26E-05,0.046776,-0.519839
0.634876,0,4.94643,6.10103,3.27E-05,0.0460938,-0.52178
0.653633,0,4.94643,6.10126,3.27E-05,0.0454085,-0.523676
0.67239,0,4.94643,6.1015,3.28E-05,0.0447205,-0.525526
0.691146,0,4.94643,6.10172,3.28E-05,0.0440308,-0.527356
0.709903,0,4.94643,6.10275,3.35E-05,0.0403637,-0.536922
1.04935,0,4.94643,6.10469,3.53E-05,0.0305839,-0.556881
1.38959,0,4.94643,6.10566,3.74E-05,0.0177904,-0.570782
1.73061,0,4.94643,6.10468,3.91E-05,0.00549753,-0.56936
0.259742,0,4.94643,6.09492,3.18E-05,0.0589613,-0.474578
0.278498,0,4.94643,6.09528,3.18E-05,0.0583645,-0.477344
0.297255,0,4.94643,6.09564,3.19E-05,0.0577619,-0.48007
0.316012,0,4.94643,6.09599,3.19E-05,0.0571538,-0.482755
0.334769,0,4.94643,6.09634,3.20E-05,0.0565402,-0.485397
0.353525,0,4.94643,6.09668,3.20E-05,0.0559214,-0.487998
0.372282,0,4.94643,6.09701,3.21E-05,0.0552973,-0.490556
0.391039,0,4.94643,6.09734,3.21E-05,0.0546682,-0.493071
0.409796,0,4.94643,6.09766,3.22E-05,0.0540343,-0.495543
0.428552,0,4.94643,6.09797,3.22E-05,0.0533955,-0.497972
0.447309,0,4.94643,6.09828,3.23E-05,0.0527522,-0.500358
0.5,0,0.00909211,9.04E-07,5.16E-08,-2.66E-06,-1.9092
0.5,0,0.00909211,0,0,0,-1.9092
-0.513525,0,0.00909086,0.0598754,0.000129748,-0.049444,5.62085
-0.500001,0,0.00909037,6.45E-06,1.13E-08,1.01E-05,5.62463
0.518188,0,0.0090913,0.0511549,0.00173811,-0.0301305,-1.91427
-0.5,0,0.00909037,0,0,0,5.62463
-0.546391,0,0.0181818,-0.196917,0.000146201,-0.247604,5.63037
-0.53229,0,0.00909089,-0.0535618,0.000118035,-0.155855,5.68001
-0.518213,0,0.00909087,0.0438417,0.000128697,-0.092597,5.63106
0.51351,0,0.00909153,0.0489603,0.00173049,-0.0499405,-1.9121
0.541592,0,0.00909099,-0.0295995,0.00129353,0.0401285,-1.91904
0.536908,0,0.00909101,0.00188095,0.00151765,0.0351544,-1.91686
0.550956,0,0.0181819,-0.094227,0.00134193,0.0640363,-1.91693
0.607264,0,1.94561,0.283723,7.54E-05,0.221064,-2.84908
0.616628,0,1.9456,0.317261,0.000211024,0.20793,-2.833
0.61664,0,2.00017,0.882342,-0.00212793,0.0597578,-2.71035
0.607288,0,2.00019,0.871274,0.000154489,0.0573034,-2.68888
