x,y,z,u,v,w,p
0.75,0.625,2.5,4.94055,-0.0350028,0.041751,-2.07215
1.25,0.625,0.1,-0.193046,-0.012191,0.0376995,-2.84522
1.25,0.625,0.2,-0.147522,0.0142932,0.0625436,-2.85383
1.25,0.625,0.3,-0.0620001,0.0409134,0.0883235,-2.84232
1.25,0.625,0.4,0.0476759,0.0577481,0.115801,-2.82745
1.25,0.625,0.5,0.134954,0.0469446,0.133108,-2.8505
1.25,0.625,0.6,0.240566,0.0337802,0.152255,-2.86482
1.25,0.625,0.7,0.374169,0.0250045,0.178806,-2.85415
1.25,0.625,0.8,0.514562,0.0136171,0.206451,-2.83528
1.25,0.625,0.9,0.630139,-0.0127275,0.219484,-2.84767
1.25,0.625,1,0.752559,-0.0380678,0.231236,-2.84968
1.25,0.625,1.1,0.886126,-0.0572032,0.243854,-2.82733
1.25,0.625,1.2,1.01943,-0.074558,0.248741,-2.79631
1.25,0.625,1.3,1.14438,-0.101865,0.235839,-2.78914
1.25,0.625,1.4,1.28285,-0.126364,0.213661,-2.77082
1.25,0.625,1.5,1.44353,-0.143623,0.182209,-2.72839
1.25,0.625,1.6,1.63531,-0.158992,0.139228,-2.67321
1.25,0.625,1.7,1.88768,-0.183578,0.0810797,-2.63399
1.25,0.625,1.8,2.22795,-0.205244,0.0168129,-2.57783
1.25,0.625,1.9,2.66461,-0.218274,-0.0419733,-2.4908
1.25,0.625,2,3.1983,-0.222484,-0.0850129,-2.38452
1.25,0.625,2.1,3.74904,-0.218868,-0.105718,-2.29557
1.25,0.625,2.2,4.19195,-0.194758,-0.107964,-2.19615
1.25,0.625,2.3,4.5076,-0.155073,-0.0955751,-2.08692
1.25,0.625,2.4,4.72525,-0.116515,-0.0760568,-1.97879
1.25,0.625,2.5,4.87671,-0.089803,-0.0589214,-1.87725
0.6,0.25,0.1,-0.368072,0.42328,0.224209,-2.21641
0.6,0.25,0.2,-0.322383,0.413092,0.33423,-2.27346
0.6,0.25,0.3,-0.282108,0.400425,0.429425,-2.34772
0.6,0.25,0.4,-0.246247,0.384947,0.512443,-2.43245
0.6,0.25,0.5,-0.216283,0.367712,0.582818,-2.51849
0.6,0.25,0.6,-0.188085,0.348875,0.64071,-2.60531
0.6,0.25,0.7,-0.162914,0.327749,0.685847,-2.68838
0.6,0.25,0.8,-0.137923,0.305014,0.720918,-2.76519
0.6,0.25,0.9,-0.116188,0.283902,0.746266,-2.83296
0.6,0.25,1,-0.0950017,0.262698,0.762289,-2.89216
0.6,0.25,1.1,-0.0756,0.241064,0.767978,-2.94142
0.6,0.25,1.2,-0.0563592,0.218813,0.76501,-2.98032
0.6,0.25,1.3,-0.0396554,0.198989,0.752457,-3.00814
0.6,0.25,1.4,-0.0228242,0.178937,0.730943,-3.02573
0.6,0.25,1.5,-0.00599728,0.15955,0.69846,-3.03236
0.6,0.25,1.6,0.0115975,0.142962,0.654408,-3.02878
0.6,0.25,1.7,0.0312512,0.13334,0.594194,-3.01469
0.6,0.25,1.8,0.0560093,0.131003,0.507433,-2.98731
0.6,0.25,1.9,0.116806,0.129989,0.362122,-2.93107
0.6,0.25,2,1.0594,-0.0443337,-0.00284261,-2.70799
0.6,0.25,2.1,2.22932,-0.115647,-0.0338248,-2.64728
0.6,0.25,2.2,3.08805,-0.0539899,-0.0622082,-2.67161
0.6,0.25,2.3,3.89752,-0.0113008,-0.0347433,-2.6271
0.6,0.25,2.4,4.48051,0.00728054,0.0164826,-2.5217
0.6,0.25,2.5,4.81346,0.0132478,0.0603502,-2.37679
0.75,0.25,0.1,-0.750205,0.24081,0.107366,-2.56683
0.75,0.25,0.2,-0.666951,0.247801,0.196823,-2.58724
0.75,0.25,0.3,-0.59851,0.246748,0.269567,-2.62953
0.75,0.25,0.4,-0.521914,0.240785,0.337641,-2.66104
0.75,0.25,0.5,-0.47665,0.230854,0.383421,-2.74005
0.75,0.25,0.6,-0.418934,0.219047,0.426906,-2.79512
0.75,0.25,0.7,-0.363362,0.205925,0.462653,-2.84778
0.75,0.25,0.8,-0.29847,0.190974,0.498066,-2.88182
0.75,0.25,0.9,-0.259222,0.175404,0.513101,-2.93817
0.75,0.25,1,-0.209378,0.159274,0.527521,-2.97292
0.75,0.25,1.1,-0.161718,0.142928,0.534914,-3.00086
0.75,0.25,1.2,-0.106117,0.125177,0.541408,-3.01033
0.75,0.25,1.3,-0.0719255,0.108318,0.528175,-3.03135
0.75,0.25,1.4,-0.0266166,0.0907079,0.513084,-3.03326
0.75,0.25,1.5,0.0208084,0.0734467,0.489426,-3.02672
0.75,0.25,1.6,0.0840335,0.0559918,0.458441,-3.00235
0.75,0.25,1.7,0.136077,0.0435449,0.403604,-2.98712
0.75,0.25,1.8,0.237328,0.0366583,0.324725,-2.94848
0.75,0.25,1.9,0.488499,0.0251373,0.181847,-2.87416
0.75,0.25,2,1.33848,-0.0605767,-0.0230767,-2.72187
0.75,0.25,2.1,2.3489,-0.110996,-0.0633786,-2.64401
0.75,0.25,2.2,3.14289,-0.0720299,-0.0796449,-2.59886
0.75,0.25,2.3,3.86827,-0.0333093,-0.0662331,-2.53076
0.75,0.25,2.4,4.4232,-0.0129108,-0.0306361,-2.42387
0.75,0.25,2.5,4.76048,-0.00357997,0.00668941,-2.28861
1.25,0.25,0.1,-1.18284,0.0396973,0.0348726,-2.75018
1.25,0.25,0.2,-1.10261,0.0428102,0.062897,-2.75754
1.25,0.25,0.3,-0.982396,0.0467504,0.0890616,-2.75999
1.25,0.25,0.4,-0.850959,0.0488362,0.114908,-2.76308
1.25,0.25,0.5,-0.790798,0.0478214,0.123036,-2.80273
1.25,0.25,0.6,-0.711906,0.0449906,0.12929,-2.83438
1.25,0.25,0.7,-0.602179,0.0406052,0.14242,-2.84684
1.25,0.25,0.8,-0.482193,0.0348209,0.158835,-2.84878
1.25,0.25,0.9,-0.415415,0.0263629,0.150313,-2.87786
1.25,0.25,1,-0.335268,0.0168448,0.144022,-2.89389
1.25,0.25,1.1,-0.230465,0.00671797,0.147918,-2.88909
1.25,0.25,1.2,-0.114469,-0.00479657,0.154618,-2.87281
1.25,0.25,1.3,-0.0398634,-0.0185479,0.133621,-2.87712
1.25,0.25,1.4,0.0515291,-0.0337976,0.11448,-2.86964
1.25,0.25,1.5,0.177213,-0.0507588,0.101481,-2.8424
1.25,0.25,1.6,0.337691,-0.0688091,0.0842118,-2.80156
1.25,0.25,1.7,0.499744,-0.0881605,0.034273,-2.77968
1.25,0.25,1.8,0.767117,-0.10649,-0.028383,-2.74219
1.25,0.25,1.9,1.22117,-0.119599,-0.102341,-2.67327
1.25,0.25,2,1.87506,-0.131704,-0.171896,-2.56775
1.25,0.25,2.1,2.60752,-0.134648,-0.203469,-2.48536
1.25,0.25,2.2,3.28114,-0.112782,-0.203729,-2.39061
1.25,0.25,2.3,3.86924,-0.0807556,-0.183193,-2.27312
1.25,0.25,2.4,4.34127,-0.0556145,-0.148893,-2.15073
1.25,0.25,2.5,4.66447,-0.0396062,-0.117268,-2.03622
0.6,-0.25,0.1,-0.368406,-0.421383,0.224366,-2.21533
0.6,-0.25,0.2,-0.322683,-0.411111,0.334464,-2.27246
0.6,-0.25,0.3,-0.282369,-0.398482,0.429708,-2.34685
0.6,-0.25,0.4,-0.246946,-0.382696,0.512937,-2.43009
